"","X.1","X","SpeciesName","OriginalSource","Site","Date","Tag","HeightOfMeasurement","Diameter","Height","CrownArea","sp.code"
"3",3,3,"Adelia triloba","WrightBCI2007","BCI50ha",NA,63743,NA,0.163,15.2,48.9803943667056,"ade1tr"
"4",4,4,"Adelia triloba","WrightBCI2007","BCI50ha",NA,64037,NA,0.124,9.07,17.8508579990843,"ade1tr"
"5",5,5,"Adelia triloba","WrightBCI2007","BCI50ha",NA,256906,NA,0.129,12.9,10.3216979310333,"ade1tr"
"6",6,6,"Adelia triloba","WrightBCI2007","BCI50ha",NA,85986,NA,0.14,15.5,44.4494648898281,"ade1tr"
"16",16,16,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,1086,NA,0.43,18.3098081231742,42.8039523643332,"alchco"
"20",20,20,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,6574,NA,0.419,21.8068221913752,119.950123807066,"alchco"
"24",24,24,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,6772,NA,0.39,19.36,48.6284249591188,"alchco"
"26",26,26,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,258263,NA,0.279,15.09,61.8491518712643,"alchco"
"28",28,28,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,87943,NA,0.552,14.8174820105038,53.0206898212758,"alchco"
"29",29,29,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,232830,NA,0.078,12.91,7.31451574830101,"alchco"
"32",32,32,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,2982,NA,0.599,16.85,114.904048338278,"alchco"
"33",33,33,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,4934,NA,0.753,31.13,417.415227717761,"alchco"
"42",42,42,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,2769,NA,0.4,21.822112863461,42.0991421625904,"alchco"
"45",45,45,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,296262,NA,0.177,14.19,29.17596193739,"alchco"
"48",48,48,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,121022,NA,0.304,14.75,62.5695589269649,"alchco"
"50",50,50,"Allophylus psilospermus","WrightBCI2007","BCI50ha",NA,115892,NA,0.112,17.23,21.4038078673794,"allops"
"55",55,55,"Allophylus psilospermus","WrightBCI2007","BCI50ha",NA,259226,NA,0.207,21.132018848164,62.448434448788,"allops"
"56",56,56,"Allophylus psilospermus","WrightBCI2007","BCI50ha",NA,67481,NA,0.231,17.17,17.6850127594887,"allops"
"57",57,57,"Allophylus psilospermus","WrightBCI2007","BCI50ha",NA,99490,NA,0.111,15.55,14.6044604998924,"allops"
"61",61,61,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150820,3145,3,0.385,23.14100075,15.5441485599113,"alsebl"
"69",69,69,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000226,256251,1.3,0.0158375250591751,2.9,0.518430105559128,"alsebl"
"70",70,70,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,5209,NA,0.265,16.28,49.5510084243699,"alsebl"
"76",76,76,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,6581,NA,0.286,23.15,52.6113387511977,"alsebl"
"79",79,79,"Alseis blackiana","WrightBCI2007","BCI50ha",NA,1312,NA,0.705,21.6482362008239,264.618577601855,"alsebl"
"82",82,82,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,191413,NA,0.018,3.77,0.350984974979428,"alsebl"
"83",83,83,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,191782,NA,0.012,2.4,0.22450060782707,"alsebl"
"84",84,84,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,166022,NA,0.023,4.52,0.298055412781032,"alsebl"
"87",87,87,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000409,60852,1.33,0.01067730303026,2.7,0.252996741280679,"alsebl"
"93",93,93,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,181278,NA,0.095,12.11,26.0501896455086,"alsebl"
"95",95,95,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000422,441289,1.23,0.0158738149163961,3.25,0.189542495613372,"alsebl"
"97",97,97,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000301,200227,1.3,0.0199310210476032,4.45,0.382034005253906,"alsebl"
"102",102,102,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000228,3182,1.3,0.00886188467539496,2.4,0.262132486409906,"alsebl"
"104",104,104,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000408,440042,1.28,0.0124750070140261,2.5,0.467569076946083,"alsebl"
"110",110,110,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000308,516086,1.3,0.00748227906456315,2.1,0.11109723805122,"alsebl"
"113",113,113,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000223,269518,1.25,0.0133474679246665,3.45,0.587744765457462,"alsebl"
"115",115,115,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,170909,NA,0.062,6.24,2.77636343834561,"alsebl"
"117",117,117,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000302,412041,1.3,0.0135770357589571,2.25,0.274904754934821,"alsebl"
"118",118,118,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,191079,NA,0.038,5.32,1.87820584718322,"alsebl"
"119",119,119,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000228,3169,1.23,0.0137497890892915,3,0.194581892455093,"alsebl"
"120",120,120,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,191214,NA,0.022,6.13,0.576125723377901,"alsebl"
"124",124,124,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,191810,NA,0.016,3.48,0.181090380601424,"alsebl"
"132",132,132,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,6561,NA,0.313,23.02,94.8966303129292,"alsebl"
"140",140,140,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,165783,NA,0.211,22.69,22.1595253603173,"alsebl"
"144",144,144,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000409,439188,1.28,0.0104533630951957,2.65,0.249396627637236,"alsebl"
"146",146,146,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,197894,NA,0.087,13.23,7.91921498627532,"alsebl"
"148",148,148,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150923,6561,4,0.398,28.32600021,60.5955692484155,"alsebl"
"152",152,152,"Alseis blackiana","WrightBCI2007","BCI50ha",NA,2933,NA,0.911,30.9875728276842,294.951072427864,"alsebl"
"158",158,158,"Alseis blackiana","WrightBCI2007","BCI50ha",NA,847,NA,0.75,34.9025934320984,150.353372610971,"alsebl"
"166",166,166,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000228,3178,0.75,0.00720980582262796,1.15,0.122201845684182,"alsebl"
"177",177,177,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000313,131221,1.3,0.0143329166606103,3.25,0.323974014783404,"alsebl"
"182",182,182,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,170903,NA,0.055,5.55,2.76793529391971,"alsebl"
"191",191,191,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150521,2681,2.5,0.492,19.94499969,65.7037444335322,"alsebl"
"193",193,193,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000224,3165,1.12,0.00845275103146899,2,0.146101267232655,"alsebl"
"201",201,201,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000405,432242,1.3,0.01054618414404,3,0.162761172423867,"alsebl"
"204",204,204,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20151002,2994,1.3,0.524,23.00799942,51.7848724395544,"alsebl"
"205",205,205,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000419,439342,1.31,0.013881354400778,2.15,0.276613827737959,"alsebl"
"208",208,208,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000228,3180,1.29,0.0146532897330258,3.1,0.260860356049458,"alsebl"
"212",212,212,"Alseis blackiana","WrightBCI2007","BCI50ha",NA,7096,NA,0.716,27.2208734774108,215.678251338908,"alsebl"
"216",216,216,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,181417,NA,0.091,10.17,6.12008115250398,"alsebl"
"217",217,217,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,5956,NA,0.485,26.71,112.682193204119,"alsebl"
"218",218,218,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000223,266387,1.31,0.0112413922625269,2.55,0.15716321774621,"alsebl"
"224",224,224,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000304,207048,1.29,0.0137790565714783,1.75,0.241787320670749,"alsebl"
"226",226,226,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000223,505939,1.32,0.0111164742612035,2.45,0.332859334510441,"alsebl"
"229",229,229,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,157025,NA,0.158,10.24,34.5190106967244,"alsebl"
"230",230,230,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,157081,NA,0.147,12.38,8.16039039573475,"alsebl"
"240",240,240,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000302,3187,1.3,0.0205785568007088,3.3,0.351239849587646,"alsebl"
"243",243,243,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000228,3168,1,0.0112898007068327,1.85,0.227734145756578,"alsebl"
"252",252,252,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150822,1082,4.2,0.455,31.29999924,53.8020867136369,"alsebl"
"262",262,262,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,170871,NA,0.018,2.92,0.725707585994791,"alsebl"
"265",265,265,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000309,424136,1.29,0.0111605555417282,2.65,0.231633489580226,"alsebl"
"266",266,266,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000225,3147,1.32,0.0149606684342646,3.3,0.576126866927943,"alsebl"
"267",267,267,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150625,2933,3.5,0.904,37.79000092,252.253857823838,"alsebl"
"272",272,272,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,165993,NA,0.013,2.8,0.28546145902741,"alsebl"
"276",276,276,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000221,405713,1.35,0.0156871922280566,1.45,0.898037775024995,"alsebl"
"278",278,278,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000422,547087,1.29,0.0107203731278347,2.45,0.879195168157753,"alsebl"
"283",283,283,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150920,165783,3,0.285,29.97100067,35.548280050986,"alsebl"
"284",284,284,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000224,234463,1.29,0.0158163712652429,3.8,0.28628448654025,"alsebl"
"290",290,290,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,5234,NA,0.464,31.71,63.9490113886303,"alsebl"
"291",291,291,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150910,2467,4.04,0.506,27.36100006,100.348386507458,"alsebl"
"295",295,295,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,170726,NA,0.027,5.37,0.89621355506123,"alsebl"
"297",297,297,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000221,3130,0.98,0.0140051133519154,2.35,0.210142493457461,"alsebl"
"299",299,299,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,210830,NA,0.042,7.86,1.83491809016171,"alsebl"
"300",300,300,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,4538,NA,0.46,21.71,133.572436628743,"alsebl"
"302",302,302,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150926,5956,3.75,0.554,20.00200081,82.0836232657916,"alsebl"
"303",303,303,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,162243,NA,0.123,13.7,7.04181135347734,"alsebl"
"305",305,305,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,6211,NA,0.279,27.19,22.7617565945862,"alsebl"
"308",308,308,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,205855,NA,0.054,5.42,2.43130634328867,"alsebl"
"313",313,313,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150617,2326,3,0.571,28.20199966,92.7310672395617,"alsebl"
"315",315,315,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,6197,NA,0.41,26.75,46.5871347571704,"alsebl"
"316",316,316,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000221,3133,1.33,0.0130853200190137,2.65,0.620120326069569,"alsebl"
"317",317,317,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000221,3132,1.17,0.0138504512561866,3.1,0.521110926334199,"alsebl"
"318",318,318,"Alseis blackiana","MullerLandauBCI1996","BCI50ha",20000221,244208,1.25,0.0132350141669739,3.2,0.239417486819345,"alsebl"
"323",323,323,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150920,5257,3,0.418,23.01799965,37.9114593283522,"alsebl"
"332",332,332,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,6202,NA,0.344,28.9,37.2237931252812,"alsebl"
"348",348,348,"Alseis blackiana","SpiroBCI1993","BCI50ha",NA,191331,NA,0.032,6.2,1.11264627889137,"alsebl"
"352",352,352,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150428,6466,5.2,0.712,26.48900032,127.214698521274,"alsebl"
"354",354,354,"Alseis blackiana","WrightBCI2007","BCI50ha",NA,1609,NA,0.83,28.2626185344342,164.577428182686,"alsebl"
"359",359,359,"Alseis blackiana","MullerLandauBCI2014","BCI50ha",20150521,2680,2.7,0.357,21.10499954,30.8809353681287,"alsebl"
"363",363,363,"Amaioua corymbosa","WrightBCI2007","BCI50ha",NA,125409,NA,0.097,10.15,10.0448318038381,"amaico"
"364",364,364,"Amaioua corymbosa","WrightBCI2007","BCI50ha",NA,155361,NA,0.049,8.8,4.23110641741079,"amaico"
"365",365,365,"Amaioua corymbosa","WrightBCI2007","BCI50ha",NA,125477,NA,0.049,8.66,3.76835497373614,"amaico"
"370",370,370,"Amaioua corymbosa","WrightBCI2007","BCI50ha",NA,125212,NA,0.065,8.73,13.2899969817695,"amaico"
"385",385,385,"Amaioua corymbosa","WrightBCI2007","BCI50ha",NA,45354,NA,0.126,12.7,13.5034634301768,"amaico"
"387",387,387,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150919,4306,1.3,1.325,40.0320015,385.817789899397,"anacex"
"392",392,392,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150624,4955,1.3,1.525,40.0909996,220.755740388709,"anacex"
"393",393,393,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150603,87,1.3,0.941,33.5870018,522.212244833071,"anacex"
"394",394,394,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150618,7056,3.8,1.594,34.15499878,648.72494242372,"anacex"
"395",395,395,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150522,5197,3.5,1.853,37.95500183,765.077662085406,"anacex"
"397",397,397,"Anacardium excelsum","BohlmanBCI1997","BCI50ha",NA,5197,NA,1.874,38.9,811.286829585544,"anacex"
"399",399,399,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150330,3870,3.1,1.123,38.70999908,77.1899031177125,"anacex"
"400",400,400,"Anacardium excelsum","BohlmanBCI1997","BCI50ha",NA,5678,NA,1.93,37.9,363.115918328096,"anacex"
"402",402,402,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150622,6259,1.3,1.557,38.86800003,444.561615365495,"anacex"
"403",403,403,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150522,4880,3.5,0.982,37.65999985,202.600901182333,"anacex"
"404",404,404,"Anacardium excelsum","BohlmanBCI1997","BCI50ha",NA,7056,NA,1.471,28.9,290.88091246101,"anacex"
"408",408,408,"Anacardium excelsum","BohlmanBCI1997","BCI50ha",NA,4880,NA,0.915,36.9,460.315158169384,"anacex"
"409",409,409,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150518,17,3.4,1.66,42.50299835,323.403265298678,"anacex"
"410",410,410,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150518,22,1.9,1.797,38.14099884,563.658243798217,"anacex"
"412",412,412,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150522,5678,3,1.88,37.54399872,505.498272666321,"anacex"
"418",418,418,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150603,556,4.05,0.84,41.10599899,72.4901633324656,"anacex"
"419",419,419,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150522,4717,3.4,0.982,38.74399948,151.955632730085,"anacex"
"422",422,422,"Anacardium excelsum","WrightBCI2007","BCI50ha",NA,17,NA,1.656,33.3143940683937,707.314787486675,"anacex"
"424",424,424,"Anacardium excelsum","BohlmanBCI1997","BCI50ha",NA,4306,NA,1.143,37.9,492.959358066027,"anacex"
"425",425,425,"Anacardium excelsum","WrightBCI2007","BCI50ha",NA,22,NA,1.762,35.3415369096927,140.779251036044,"anacex"
"426",426,426,"Anacardium excelsum","WrightBCI2007","BCI50ha",NA,5678,NA,1.869,38.282747419812,250.795314255906,"anacex"
"427",427,427,"Anacardium excelsum","WrightBCI2007","BCI50ha",NA,379,NA,1.961,38.6525597569601,733.330926825685,"anacex"
"429",429,429,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150402,2425,3,1.066,33.49399948,410.901357875794,"anacex"
"430",430,430,"Anacardium excelsum","MullerLandauBCI2014","BCI50ha",20150518,379,5.2,1.975,38.91799927,446.325436260709,"anacex"
"431",431,431,"Anacardium excelsum","WrightBCI2007","BCI50ha",NA,5197,NA,1.851,35.3665407927807,494.710837464546,"anacex"
"434",434,434,"Andira inermis","WrightBCI2007","BCI50ha",NA,156113,NA,0.285,29.4336422070027,29.8931022451295,"andiin"
"435",435,435,"Andira inermis","WrightBCI2007","BCI50ha",NA,107039,NA,0.173,12.45,13.0398494080802,"andiin"
"436",436,436,"Andira inermis","WrightBCI2007","BCI50ha",NA,8162,NA,0.372,27.6723448740533,110.485009864021,"andiin"
"438",438,438,"Andira inermis","WrightBCI2007","BCI50ha",NA,32157,NA,0.169,13.67,40.9687909034251,"andiin"
"439",439,439,"Annona acuminata","WrightBCI2007","BCI50ha",NA,281225,NA,0.055,5.59,20.8326821074334,"annoac"
"440",440,440,"Annona acuminata","WrightBCI2007","BCI50ha",NA,58531,NA,0.063,12.73,13.8646350803311,"annoac"
"442",442,442,"Annona acuminata","WrightBCI2007","BCI50ha",NA,163439,NA,0.05,6.61,6.3480119203564,"annoac"
"445",445,445,"Annona acuminata","WrightBCI2007","BCI50ha",NA,203755,NA,0.064,8.93,3.48331506450092,"annoac"
"447",447,447,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150918,4246,5,0.645,27.33499908,110.448004621427,"apeime"
"465",465,465,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150618,7365,3,0.85,26.98900032,242.959300853918,"apeime"
"476",476,476,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150312,156272,1.3,0.507,31.58499908,211.047876610778,"apeime"
"479",479,479,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150624,2888,3,0.848,32.2140007,154.935606861784,"apeime"
"481",481,481,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150828,2133,1.3,0.48,30.59900093,79.2823719371655,"apeime"
"482",482,482,"Apeiba membranacea","WrightBCI2007","BCI50ha",NA,7082,NA,0.882,26.8991679582708,237.176262131878,"apeime"
"488",488,488,"Apeiba membranacea","BohlmanBCI1997","BCI50ha",NA,8087,NA,0.654,27.46,195.084554886252,"apeime"
"491",491,491,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150409,1031,3.5,0.595,33.97900009,103.750520582605,"apeime"
"492",492,492,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150529,7082,3.5,0.894,31.24200058,64.998884402111,"apeime"
"493",493,493,"Apeiba membranacea","BohlmanBCI1997","BCI50ha",NA,8048,NA,0.498,24.1,166.051583169681,"apeime"
"499",499,499,"Apeiba membranacea","BohlmanBCI1997","BCI50ha",NA,3889,NA,1.143,34.43,525.20126801848,"apeime"
"500",500,500,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150320,3475,3.5,0.838,22.71999931,194.60890531145,"apeime"
"503",503,503,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20151015,29851,1.3,0.253,24.75300026,37.7857962224767,"apeime"
"505",505,505,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20151001,376,3.8,0.699,33.91500092,82.9092599209772,"apeime"
"508",508,508,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150320,4122,3,0.795,25.96500015,118.811323715982,"apeime"
"512",512,512,"Apeiba membranacea","BohlmanBCI1997","BCI50ha",NA,255757,NA,0.325,22.9,56.9565618043747,"apeime"
"527",527,527,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150907,1438,7,0.79,36.45600128,118.539906764879,"apeime"
"532",532,532,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150327,3206,5.65,0.918,28.59399986,87.5492518580602,"apeime"
"533",533,533,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150423,8074,3,0.88,31.14900017,495.845365718513,"apeime"
"534",534,534,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20151008,1135,3.2,0.725,30.8560009,90.5017403391762,"apeime"
"540",540,540,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20151009,7576,2.1,0.35,30.46500015,34.9889996038309,"apeime"
"546",546,546,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150427,8213,4,0.351,24.81399918,70.8930618898216,"apeime"
"547",547,547,"Apeiba membranacea","WrightBCI2007","BCI50ha",NA,3889,NA,1.142,37.7181221922238,249.029645728537,"apeime"
"553",553,553,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150515,4465,6.4,0.735,31.20499992,174.200658455434,"apeime"
"555",555,555,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150423,8048,4,0.551,28.67000008,49.9715205044032,"apeime"
"556",556,556,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20150622,6995,1.3,0.55,36.85699844,65.3282366632848,"apeime"
"557",557,557,"Apeiba membranacea","MullerLandauBCI2014","BCI50ha",20151014,269,4,1.12,29.93899918,254.68217383627,"apeime"
"559",559,559,"Apeiba tibourbou","WrightBCI2007","BCI50ha",NA,257271,NA,0.302,15.226848070563,65.2733745278551,"apeiti"
"561",561,561,"Apeiba tibourbou","WrightBCI2007","BCI50ha",NA,179059,NA,0.235,17.8894206312906,12.7816401901294,"apeiti"
"563",563,563,"Apeiba tibourbou","WrightBCI2007","BCI50ha",NA,206872,NA,0.269,13.66,34.3434343589606,"apeiti"
"564",564,564,"Apeiba tibourbou","WrightBCI2007","BCI50ha",NA,16009,NA,0.237,17.5959842804692,18.8985233512382,"apeiti"
"574",574,574,"Ardisia standleyana","WrightBCI2007","BCI50ha",NA,21639,NA,0.053,6.57,7.64025725466286,"ardife"
"577",577,577,"Ardisia standleyana","WrightBCI2007","BCI50ha",NA,167010,NA,0.064,6.9,15.0505353783983,"ardife"
"580",580,580,"Ardisia standleyana","WrightBCI2007","BCI50ha",NA,132169,NA,0.096,7.32,13.8433403951278,"ardife"
"593",593,593,"Ardisia standleyana","WrightBCI2007","BCI50ha",NA,126649,NA,0.067,5.9,10.2569163242184,"ardife"
"596",596,596,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150611,918,1.4,0.672,41.38499832,79.6587124704253,"aspicr"
"598",598,598,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150611,2178,3.05,0.983,37.5909996,223.06995002737,"aspicr"
"605",605,605,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150407,1796,3.3,0.889,20.91300011,103.242436812004,"aspicr"
"610",610,610,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150611,17636,1.3,0.236,30.15699959,26.5688772007387,"aspicr"
"615",615,615,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150827,2849,1.3,0.487,34.875,147.555166045117,"aspicr"
"616",616,616,"Aspidosperma desmanthum","WrightBCI2007","BCI50ha",NA,4787,NA,1.09,33.9609759645327,183.735092669215,"aspicr"
"625",625,625,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150919,4930,1.3,0.55,35.46500015,171.232357127724,"aspicr"
"636",636,636,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150427,8205,1.3,0.603,35.91600037,143.718116285028,"aspicr"
"639",639,639,"Aspidosperma desmanthum","WrightBCI2007","BCI50ha",NA,1493,NA,0.866,46.3645903271822,151.134323041761,"aspicr"
"644",644,644,"Aspidosperma desmanthum","WrightBCI2007","BCI50ha",NA,1796,NA,0.855,34.253382748752,154.588104118959,"aspicr"
"653",653,653,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150402,74347,1.3,0.374,31.71800041,84.7183854520561,"aspicr"
"659",659,659,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150324,3730,1.3,0.48,36.19499969,67.1879350599326,"aspicr"
"660",660,660,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20151001,1045,3,0.538,37.92200089,59.9399467204846,"aspicr"
"661",661,661,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20151008,1493,7,0.775,44.59700012,126.230693316248,"aspicr"
"670",670,670,"Aspidosperma desmanthum","WrightBCI2007","BCI50ha",NA,2309,NA,0.944,36.3558907809837,243.471202646491,"aspicr"
"681",681,681,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20151015,24249,1.3,0.219,25.97100067,17.2444761906547,"aspicr"
"687",687,687,"Aspidosperma desmanthum","WrightBCI2007","BCI50ha",NA,2560,NA,1.125,41.8232724016478,249.544525727953,"aspicr"
"692",692,692,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150625,2560,3,1.125,45.40200043,222.876616003912,"aspicr"
"700",700,700,"Aspidosperma desmanthum","WrightBCI2007","BCI50ha",NA,2178,NA,0.918,39.0119287697619,45.3442278615659,"aspicr"
"701",701,701,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150515,4825,1.3,0.839,35.60200119,147.870577670462,"aspicr"
"705",705,705,"Aspidosperma desmanthum","MullerLandauBCI2014","BCI50ha",20150515,4787,1.3,1.125,41.39899826,393.116646130826,"aspicr"
"712",712,712,"Astronium graveolens","BohlmanBCI1997","BCI50ha",NA,7902,NA,0.711,36.45,125.29264614221,"ast2gr"
"718",718,718,"Astronium graveolens","BohlmanBCI1997","BCI50ha",NA,13117,NA,0.344,26.9,41.4849067703087,"ast2gr"
"719",719,719,"Astronium graveolens","WrightBCI2007","BCI50ha",NA,2703,NA,0.518,33.0558923139009,129.220600548603,"ast2gr"
"722",722,722,"Astronium graveolens","WrightBCI2007","BCI50ha",NA,7391,NA,0.568,31.5172155757507,116.341610852151,"ast2gr"
"725",725,725,"Astronium graveolens","BohlmanBCI1997","BCI50ha",NA,5221,NA,0.855,39.52,160.960170276428,"ast2gr"
"726",726,726,"Astronium graveolens","MullerLandauBCI2014","BCI50ha",20150904,8162,1.3,0.445,28.98999977,60.9343376059704,"ast2gr"
"729",729,729,"Astronium graveolens","WrightBCI2007","BCI50ha",NA,4933,NA,0.578,35.7790331714299,205.237179779739,"ast2gr"
"730",730,730,"Astronium graveolens","BohlmanBCI1997","BCI50ha",NA,7391,NA,0.535,33.38,43.032677290693,"ast2gr"
